name,unit,unit_price,category,is_active,days_enabled,stock_card_no
"Battery AA, 1.5Volts, Alkaline, no mercury&cadmium added",pc.,63.00,Other Supplies and Materials for Distribution,true,false,OS-BAT-0000001
"Battery AAA, 1.5Volts, Max Alkaline, no mercury&cadmium added, 4pieces per pack, well-known brand",pack,220.00,Other Supplies and Materials Expenses,true,false,OS-BAT-0000002
Fastener standard (Plastic),box,66.00,Office Supplies Expenses,true,false,OS-FAS-0000003
Bond paper A4 80gsm,ream,494.00,Office Supplies Expenses,true,false,OS-PAP-0000004
Bond paper long S20/80 gsm,ream,495.00,Training Expenses,true,false,OS-PAP-0000006
Bond Paper Short 80 gsm Hard Copy,ream,281.00,Office Supplies Expenses,true,false,OS-PAP-0000007
"Cartolina (Asstd Neon colors) (yellow,green,white,orange,pink,blue/white)",pc,10.00,Training Expenses,true,false,OS-PAP-0000011
"Photo paper, high glossy, A4 size, 230 gsm, 230 microns, 20 sheets/pack",pack,410.00,Office Supplies Expenses,true,false,OS-PAP-0000027
Specialty Paper Worx Paper Certificate Paper Laid Paper Board Thick 200 GSM / Thin 90 GSM A4 Color White by Ream (100 sheets) / certification paper /board paper /,ream,176.00,Office Supplies Expenses,true,false,OS-PAP-0000029
Sticky note 2x3 (Asstd. Neon Color),pack,33.00,Office Supplies Expenses,true,false,OS-PAP-0000031
Sticky note 3x3 (Asstd. Neon Color),pack,41.00,Office Supplies Expenses,true,false,OS-PAP-0000032
Sticky note 3x4 (Asstd. Neon Color),pack,51.00,Office Supplies Expenses,true,false,OS-PAP-0000033
Sticky Notes (Sign Here),pack,49.00,Office Supplies Expenses,true,false,OS-PAP-0000034
"Glossy Vinyl Sticker Paper, (Waterproof/Printable)",pc.,294.00,Office Supplies Expenses,true,false,OS-PAP-0000041
"Flourescent Marker, Asstd. Colors (Highlighter)",pc.,71.00,Office Supplies Expenses,true,false,OS-PEN-0000006
"Permanent marker black fine, refillable, water proof, dries instantly",pc.,68.00,Office Supplies Expenses,true,false,OS-PEN-0000015
"Permanent marker blue fine, refillable, water proof, dries instantly",pc.,69.00,Office Supplies Expenses,true,false,OS-PEN-0000017
"Permanent marker red fine, refillable, water proof, dries instantly",pc.,69.00,Office Supplies Expenses,true,false,OS-PEN-0000019
"Whiteboard marker, Black, environment friendly",pc.,100.00,Office Supplies Expenses,true,false,OS-PEN-0000035
"Whiteboard marker, Blue, environment friendly",pc.,100.00,Office Supplies Expenses,true,false,OS-PEN-0000036
"Whiteboard marker, Red, environment friendly",pc.,100.00,Office Supplies Expenses,true,false,OS-PEN-0000037
Certificate holder (A4),pc,50.00,Office Supplies Expenses,true,false,OS-SWM-0000011
